Name EN,Name AR,Category EN,Category AR,Description EN,Description AR,Price,Currency,Sizes,Weight,Metadata,Available
Grilled Chicken Croissant,كرواسون الدجاج المشوي,Croissant,كرواسون,"Fresh croissant stuffed with tender grilled chicken, aromatic garlic and herb sauce, and fresh vegetable slices. Crispy golden crust on the outside and a delicious filling inside.",كرواسون طازج محشو بالدجاج المشوي الطري وصوص الثوم والأعشاب العطرية وشرائح الخضار الطازجة. قشرة ذهبية مقرمشة من الخارج وحشوة لذيذة من الداخل.,299.00,EGP,Regular,140 gram,,1
Pistachio And Nutella Croissant,كرواسون الفستق والنوتيلا,Croissant,كرواسون,"Freshly baked daily croissant with a crispy and flaky dough, filled with smooth pistachio halbi paste and rich Nutella cream. Served warm for a unique taste and texture experience.",كرواسون يُخبز يومياً بعجينة مقرمشة وهشة، محشو بمعجون الفستق الناعم وكريمة النوتيلا الغنية. يُقدم دافئاً لتجربة طعم ونسيج فريدة.,174.00,EGP,Regular,141 gram,,1
Tuna Croissant,كرواسون التونة,Croissant,كرواسون,"Fresh croissant stuffed with premium tuna mixed with a delicious creamy sauce and fresh vegetables, served hot with a delicious taste and a crispy, crunchy texture.",كرواسون طازج محشو بالتونة الفاخرة ممزوجة بصوص كريمي لذيذ وخضار طازجة، يُقدم ساخناً بطعم رائع وقوام مقرمش.,299.00,EGP,Regular,142 gram,,1
Nutella Croissant,كرواسون النوتيلا,Croissant,كرواسون,"Fresh, crispy croissant with golden butter layers, filled with rich Nutella, a delicious chocolate and hazelnut flavor, served warm.",كرواسون طازج ومقرمش بطبقات زبدة ذهبية، محشو بالنوتيلا الغنية بنكهة الشوكولاتة والبندق اللذيذة، يُقدم دافئاً.,169.00,EGP,Regular,143 gram,,1
Zaatar Croissant,كرواسون الزعتر,Croissant,كرواسون,"Freshly baked prepare daily, this croissant features a flaky, buttery dough with multiple layers filled with premium zaatar and extra virgin olive oil. Served warm and fresh from the oven.",يُخبز يومياً، هذا الكرواسون بعجينة هشة وزبدية متعددة الطبقات محشوة بزعتر فاخر وزيت زيتون بكر ممتاز. يُقدم دافئاً وطازجاً من الفرن.,149.00,EGP,Regular,144 gram,,1
Blue Cheese Croissant,كرواسون الجبن الأزرق,Croissant,كرواسون,"Freshly made croissants daily with a flaky and crispy crust, filled with premium blue cheese and smooth cream, served warm for a unique and delicious taste experience.",كرواسون يُصنع يومياً بقشرة هشة ومقرمشة، محشو بالجبن الأزرق الفاخر والكريمة الناعمة، يُقدم دافئاً لتجربة طعم فريدة ولذيذة.,154.00,EGP,Regular,145 gram,,1
Smoked Salmon Croissant,كرواسون السلمون المدخن,Croissant,كرواسون,"Freshly baked and prepared daily croissant with a crispy buttery dough, stuffed with premium smoked salmon fish, with smooth cream cheese, pickled cucumber slices, and fresh dill sauce.",كرواسون يُخبز ويُحضر يومياً بعجينة زبدية مقرمشة، محشو بسمك السلمون المدخن الفاخر وجبنة الكريمة الناعمة وشرائح الخيار المخلل وصوص الشبت الطازج.,299,EGP,Regular,146 gram,,1
Almond Croissant,كرواسون اللوز,Croissant,كرواسون,"Luxurious almond croissant made with multi-layered buttery dough, filled with finely toasted almonds, served hot with a dusting of shimmering powdered sugar.",كرواسون لوز فاخر بعجينة زبدية متعددة الطبقات، محشو باللوز المحمص الناعم، يُقدم ساخناً مع رشة من السكر البودرة اللامع.,179,EGP,Regular,147 gram,,1
Smoked Turkey And Beef Croissant,كرواسون الديك الرومي المدخن واللحم,Croissant,كرواسون,"Fresh croissant filled with delicious smoked turkey and seasoned beef, rich aromatic flavors, served hot with a delicious special sauce.",كرواسون طازج محشو بالديك الرومي المدخن واللحم المتبل بنكهات عطرية غنية، يُقدم ساخناً مع صوص خاص لذيذ.,214,EGP,Regular,148 gram,,1
Pain Swiss Croissant,كرواسون بان سويس,Croissant,كرواسون,"A luxurious Swiss croissant with thin, crispy layers, made from the finest butter. It features a rich taste and a smooth, melt-in-your-mouth texture. Served fresh and warm.",كرواسون سويسري فاخر بطبقات رقيقة ومقرمشة، مصنوع من أجود أنواع الزبدة. يتميز بطعم غني وقوام ناعم يذوب في فمك. يُقدم طازجاً ودافئاً.,154,EGP,Regular,149 gram,,1
